Title,Author,Link
Atomic Habits,Unknown,https://drive.google.com/file/d/1EaS2FrqvLBRhaVJyktMs0Vb2Uzo36ZY5/view?usp=drive_link
Building a Second Brain,Unknown,https://drive.google.com/file/d/1YSng5knMYM7_sIA78EPYukjtX3jcjaO7/view?usp=drive_link
Business Adventures,Unknown,https://drive.google.com/file/d/1i1Ro53ye2aRGp9cU20okGzaSJpXjAcfp/view?usp=drive_link
Can't Hurt Me,Unknown,https://drive.google.com/file/d/1XekkPphG1Ejdhfyqyz0u-J8yEBIHD7su/view?usp=drive_link
Deep Work,Unknown,https://drive.google.com/file/d/10NOPpjFdvvbb5AG_-m0WsSVBZ8qkZBdd/view?usp=drive_link
Digital Minimalism,Unknown,https://drive.google.com/file/d/1keqIJBqhC4dr7oOfRVdrIo6yXQB4Vb3m/view?usp=drive_link
Discipline Equals Freedom,Unknown,https://drive.google.com/file/d/1OnC2YUDz-C3smM4BtgtvwWJT-GqU46EK/view?usp=drive_link
Do It Today Overcome Procrastination - Darius Foroux,Unknown,https://drive.google.com/file/d/1hAM-OGpg2wGFNphJ509KQfJN9TLqajm-/view?usp=drive_link
Dopamine Detox,Unknown,https://drive.google.com/file/d/1Z7_dBVJ6wjDm1URjIGNUssnDdyuvIeLN/view?usp=drive_link
Eat That Frog for Students - 22 Ways to Stop Procrastinating,Unknown,https://drive.google.com/file/d/1Agxaxcj4Yshv3cxYj1S_bC1fVRcWZv1f/view?usp=drive_link
Effortless,Unknown,https://drive.google.com/file/d/1_t362Va8XuC29gul3ftt7yKfnCtuImck/view?usp=drive_link
Essentialism,Unknown,https://drive.google.com/file/d/1vNTqJSn8lhM-vWCNL2v-7JwVnWEZUA6k/view?usp=drive_link
Everything Is F*cked,Unknown,https://drive.google.com/file/d/1azdjJ1fAp2tJdBo4QtV4WQajmKn6Vjk0/view?usp=drive_link
Extreme Ownership,Unknown,https://drive.google.com/file/d/1sZsgvRQ7IOXhlfmW8HAnImSepfiKG_tf/view?usp=drive_link
Flow,Unknown,https://drive.google.com/file/d/1aKdRl-TF64A1xDocl6FjvD2vMEiitKnT/view?usp=drive_link
How to Talk to Anyone,Unknown,https://drive.google.com/file/d/1hBJJx9QGnbd8nY4g43lfUDj-Si6Laz_c/view?usp=drive_link
Ikigai,Unknown,https://drive.google.com/file/d/1WhOCRBOsFZJ16kyrdunJ6qQ7x8KaQVYR/view?usp=drive_link
Indistractable,Unknown,https://drive.google.com/file/d/15y_VTw5FJhfxcsRMOY_i_TqEZ_syBhJG/view?usp=drive_link
Leaders Eat Last,Unknown,https://drive.google.com/file/d/10ChgbikXiywhg2sZpYumo3rVpFN-8bGi/view?usp=drive_link
Make Time,Unknown,https://drive.google.com/file/d/1xFlPeuLrpxkakxI_DVG1y2Xbw5ZtlH6X/view?usp=drive_link
Man’s Search for Meaning,Unknown,https://drive.google.com/file/d/1sHW72XVYaujRdxLp6-LjhdZdeqBKYAx7/view?usp=drive_link
Mastery,Unknown,https://drive.google.com/file/d/1fOdYHIuu50MYrTyP8FB7N7MhQLY8c0Mu/view?usp=drive_link
Mindset,Unknown,https://drive.google.com/file/d/1oHO60htZYfSJAM6fegN96-8ny3uHdN-5/view?usp=drive_link
Mini Habits,Unknown,https://drive.google.com/file/d/1NgIZWgCUkYga4dCV4t73e31doPGPQ6gl/view?usp=drive_link
Outliers,Unknown,https://drive.google.com/file/d/1VsyKjmiGUVIwK92JOmJVTJQ_Wt5DgrPe/view?usp=drive_link
Peak,Unknown,https://drive.google.com/file/d/1OBiSHXhOXtVpHXaG9t4pbcZ2HCmB9Z77/view?usp=drive_link
Rework,Unknown,https://drive.google.com/file/d/1FiQjss7rv_UEvzUdsYWoEsVWdzExbMCz/view?usp=drive_link
Rich Dad Poor Dad,Unknown,https://drive.google.com/file/d/1RE22ANX23UJ2lT0hEQAzSUaUGhQWc5W5/view?usp=drive_link
Secrets of the Millionaire Mind,Unknown,https://drive.google.com/file/d/18u5vizjpjb14MWXWa2r6VQ_1lAieP0DA/view?usp=drive_link
Show Your Work,Unknown,https://drive.google.com/file/d/1ZpD7ff5xY3FbhgZ5r0szayC8ij7IThPL/view?usp=drive_link
So Good They Can’t Ignore You,Unknown,https://drive.google.com/file/d/1TonMwQt5fayfebPZUKftCbXQIPYNabwq/view?usp=drive_link
Start With Why,Unknown,https://drive.google.com/file/d/1JZcZkBnS8IZmfj3SYGgn952gpNBGrx73/view?usp=drive_link
Steal Like an Artist,Unknown,https://drive.google.com/file/d/1ZjVAAObjxne_86N89aoFL_Bzx7Ybwhld/view?usp=drive_link
Stillness is the Key,Unknown,https://drive.google.com/file/d/1xfGD-H9HWTYH0-D6jMS3Y3RXm2QUuIni/view?usp=drive_link
The Almanack of Naval Ravikant,Unknown,https://drive.google.com/file/d/1oMwsiSmXhqnq0UL71NUr-1KIUEN4y0D6/view?usp=drive_link
The Art of Saying No,Unknown,https://drive.google.com/file/d/1ipQodG9NduyG5y0WrWYH93pyeVLlpgj0/view?usp=drive_link
The Defining Decade,Unknown,https://drive.google.com/file/d/15TxPI2HHwGCSbx4GKf4XyhqBzdwHrRyb/view?usp=drive_link
The Dip,Unknown,https://drive.google.com/file/d/18oQWoetrgK4fhnR76-0MpuAYl0qTmGje/view?usp=drive_link
The Magic of Thinking Big,Unknown,https://drive.google.com/file/d/1-UHzTBo2Z-7yj9dteOdRUUeE5jfWOFKF/view?usp=drive_link
The Millionaire Fastlane,Unknown,https://drive.google.com/file/d/1pR2nM-7sEblf015MF1FbX-gnaqzWnr27/view?usp=drive_link
The Miracle Morning,Unknown,https://drive.google.com/file/d/1yFaDd3rHaI1ou68AN0rsmWZs6_0CshEC/view?usp=drive_link
The Mountain Is You,Unknown,https://drive.google.com/file/d/1VT1TaK-SonVbs4Yb_c1jdVL67ZdFIBqE/view?usp=drive_link
The Power of Habit,Unknown,https://drive.google.com/file/d/13TmUxeoWdkZfXGse2vrvZyYocZeOrXGk/view?usp=drive_link
The Psychology of Money,Unknown,https://drive.google.com/file/d/1dm0wGoYZO0mdAeQAXMP62MvTPvI3J911/view?usp=drive_link
The Subtle Art of Not Giving a F*ck,Unknown,https://drive.google.com/file/d/1tTSH2ywMBy_ayRFJpYQSktSY78E4O-kG/view?usp=drive_link
Think and Grow Rich,Unknown,https://drive.google.com/file/d/18p4Ru9CYuYZLUWOu4ptLxDwZXqjQabqa/view?usp=drive_link
Think Like a Monk,Unknown,https://drive.google.com/file/d/1fIs1UneLhpyISWwD_gYpZMNR6_JphOer/view?usp=drive_link
Tools of Titans,Unknown,https://drive.google.com/file/d/196d5zcX_eXOL79t0KygRwghawbnBWpj9/view?usp=drive_link
Who Moved My Cheese,Unknown,https://drive.google.com/file/d/12MmW66ZJLTukhu7aK7RdD0iZPtdP-GF3/view?usp=drive_link
Your Next Five Moves,Unknown,https://drive.google.com/file/d/1nlyB8lh2CSrXJbwtqR7IY5DV_EdkP18w/view?usp=drive_link
