Book Title,Link
Atomic-Habits,https://drive.google.com/file/d/1EaS2FrqvLBRhaVJyktMs0Vb2Uzo36ZY5/view?usp=drive_link
Building a Second Brain,https://drive.google.com/file/d/1YSng5knMYM7_sIA78EPYukjtX3jcjaO7/view?usp=drive_link
Business Adventures,https://drive.google.com/file/d/1i1Ro53ye2aRGp9cU20okGzaSJpXjAcfp/view?usp=drive_link
Cant Hurt Me,https://drive.google.com/file/d/1XekkPphG1Ejdhfyqyz0u-J8yEBIHD7su/view?usp=drive_link
Deep Work,https://drive.google.com/file/d/10NOPpjFdvvbb5AG_-m0WsSVBZ8qkZBdd/view?usp=drive_link
Digital Minimalism,https://drive.google.com/file/d/1keqIJBqhC4dr7oOfRVdrIo6yXQB4Vb3m/view?usp=drive_link
Discipline Equals Freedom,https://drive.google.com/file/d/1OnC2YUDz-C3smM4BtgtvwWJT-GqU46EK/view?usp=drive_link
Do It Today Overcome Procrastination -Darius Foroux,https://drive.google.com/file/d/1hAM-OGpg2wGFNphJ509KQfJN9TLqajm-/view?usp=drive_link
Dopamine Detox,https://drive.google.com/file/d/1Z7_dBVJ6wjDm1URjIGNUssnDdyuvIeLN/view?usp=drive_link
Eat-That_Frog_for_Students_22_Ways_to_Stop_Procrastinating_and,https://drive.google.com/file/d/1Agxaxcj4Yshv3cxYj1S_bC1fVRcWZv1f/view?usp=drive_link
Extreme Ownership How U.S. Navy SEALs Lead and Win,https://drive.google.com/file/d/1_t362Va8XuC29gul3ftt7yKfnCtuImck/view?usp=drive_link
Four Thousand Weeks- Time Management for Mortals,https://drive.google.com/file/d/1vNTqJSn8lhM-vWCNL2v-7JwVnWEZUA6k/view?usp=drive_link
Getting Things Done - David Allen,https://drive.google.com/file/d/1azdjJ1fAp2tJdBo4QtV4WQajmKn6Vjk0/view?usp=drive_link
Grow-Rich_with_the_Power_of_Your_Subconsci_-_Joseph_Murphy,https://drive.google.com/file/d/1sZsgvRQ7IOXhlfmW8HAnImSepfiKG_tf/view?usp=drive_link
How to Get Rich,https://drive.google.com/file/d/1aKdRl-TF64A1xDocl6FjvD2vMEiitKnT/view?usp=drive_link
How to Grow Your Small Business,https://drive.google.com/file/d/1hBJJx9QGnbd8nY4g43lfUDj-Si6Laz_c/view?usp=drive_link
How to Stop Overthinking,https://drive.google.com/file/d/1WhOCRBOsFZJ16kyrdunJ6qQ7x8KaQVYR/view?usp=drive_link
How to Win an Argument,https://drive.google.com/file/d/15y_VTw5FJhfxcsRMOY_i_TqEZ_syBhJG/view?usp=drive_link
How-to_Stop_Procrastinating_Powerful_Strategies_to_Overcome_Laziness,https://drive.google.com/file/d/10ChgbikXiywhg2sZpYumo3rVpFN-8bGi/view?usp=drive_link
Ikigai Sebastian Marshall,https://drive.google.com/file/d/1xFlPeuLrpxkakxI_DVG1y2Xbw5ZtlH6X/view?usp=drive_link
Invent and Wander,https://drive.google.com/file/d/1sHW72XVYaujRdxLp6-LjhdZdeqBKYAx7/view?usp=drive_link
Living-with_a_Seal_31_Days_Training_with_the_Toughest_Man_on_the,https://drive.google.com/file/d/1fOdYHIuu50MYrTyP8FB7N7MhQLY8c0Mu/view?usp=drive_link
Make Time- How to Focus on What Matters Every Day,https://drive.google.com/file/d/1oHO60htZYfSJAM6fegN96-8ny3uHdN-5/view?usp=drive_link
Make Your Bedd,https://drive.google.com/file/d/1NgIZWgCUkYga4dCV4t73e31doPGPQ6gl/view?usp=drive_link
Master Your Emotions,https://drive.google.com/file/d/1VsyKjmiGUVIwK92JOmJVTJQ_Wt5DgrPe/view?usp=drive_link
Reclaim Your Time Off,https://drive.google.com/file/d/1OBiSHXhOXtVpHXaG9t4pbcZ2HCmB9Z77/view?usp=drive_link
Rework,https://drive.google.com/file/d/1FiQjss7rv_UEvzUdsYWoEsVWdzExbMCz/view?usp=drive_link
Rich-Dads_Rich_Kid_Smart_Kid_-_Robert_Kiyosaki,https://drive.google.com/file/d/1RE22ANX23UJ2lT0hEQAzSUaUGhQWc5W5/view?usp=drive_link
Side Hustle- From Idea to Income in 27 Days,https://drive.google.com/file/d/18u5vizjpjb14MWXWa2r6VQ_1lAieP0DA/view?usp=drive_link
Smarter Faster Better,https://drive.google.com/file/d/1ZpD7ff5xY3FbhgZ5r0szayC8ij7IThPL/view?usp=drive_link
The 100 startup,https://drive.google.com/file/d/1TonMwQt5fayfebPZUKftCbXQIPYNabwq/view?usp=drive_link
The 120 Days of Sodom,https://drive.google.com/file/d/1JZcZkBnS8IZmfj3SYGgn952gpNBGrx73/view?usp=drive_link
The 22 Immutable Laws of Branding,https://drive.google.com/file/d/1ZjVAAObjxne_86N89aoFL_Bzx7Ybwhld/view?usp=drive_link
The 7 Habits of Highly Effective People,https://drive.google.com/file/d/1xfGD-H9HWTYH0-D6jMS3Y3RXm2QUuIni/view?usp=drive_link
The Art of Living Alone and Loving It,https://drive.google.com/file/d/1oMwsiSmXhqnq0UL71NUr-1KIUEN4y0D6/view?usp=drive_link
The Art of Living- Epictetus,https://drive.google.com/file/d/1ipQodG9NduyG5y0WrWYH93pyeVLlpgj0/view?usp=drive_link
The Power of Habit in 30 minutes,https://drive.google.com/file/d/15TxPI2HHwGCSbx4GKf4XyhqBzdwHrRyb/view?usp=drive_link
The Power of Now,https://drive.google.com/file/d/18oQWoetrgK4fhnR76-0MpuAYl0qTmGje/view?usp=drive_link
The Psychopathology of Everyday Life by Sigmund Freud,https://drive.google.com/file/d/1-UHzTBo2Z-7yj9dteOdRUUeE5jfWOFKF/view?usp=drive_link
The Surrender Experiment,https://drive.google.com/file/d/1pR2nM-7sEblf015MF1FbX-gnaqzWnr27/view?usp=drive_link
The War of Art,https://drive.google.com/file/d/1yFaDd3rHaI1ou68AN0rsmWZs6_0CshEC/view?usp=drive_link
The psychology of money -Morgan housel,https://drive.google.com/file/d/1VT1TaK-SonVbs4Yb_c1jdVL67ZdFIBqE/view?usp=drive_link
The warren Buffet Way Workbook --Robert_G_Hagstrom,https://drive.google.com/file/d/13TmUxeoWdkZfXGse2vrvZyYocZeOrXGk/view?usp=drive_link
The-4_Hour_Workweek_Escape_9_5_Live_Anywhere_and_Join_the_New,https://drive.google.com/file/d/1dm0wGoYZO0mdAeQAXMP62MvTPvI3J911/view?usp=drive_link
The-Art_of_War_-_Thomas_Cleary,https://drive.google.com/file/d/1tTSH2ywMBy_ayRFJpYQSktSY78E4O-kG/view?usp=drive_link
Think Like a Monk - Jay Shetty,https://drive.google.com/file/d/18p4Ru9CYuYZLUWOu4ptLxDwZXqjQabqa/view?usp=drive_link
Work Clean,https://drive.google.com/file/d/1fIs1UneLhpyISWwD_gYpZMNR6_JphOer/view?usp=drive_link
Your Brain at Work,https://drive.google.com/file/d/196d5zcX_eXOL79t0KygRwghawbnBWpj9/view?usp=drive_link
Youre-Overthinking_It_Find_Lifelong_Love_By_Being_Your_True_Self,https://drive.google.com/file/d/12MmW66ZJLTukhu7aK7RdD0iZPtdP-GF3/view?usp=drive_link
the-One_Thing_The_Surprisingly_Simple_Truth_Behind_Extraordinary,https://drive.google.com/file/d/1nlyB8lh2CSrXJbwtqR7IY5DV_EdkP18w/view?usp=drive_link
