Title,Author,Google Drive Link
Atomic Habits,James Clear,https://drive.google.com/file/d/1EaS2FrqvLBRhaVJyktMs0Vb2Uzo36ZY5/view?usp=drive_link
Building a Second Brain,Tiago Forte,https://drive.google.com/file/d/1YSng5knMYM7_sIA78EPYukjtX3jcjaO7/view?usp=drive_link
Business Adventures,John Brooks,https://drive.google.com/file/d/1i1Ro53ye2aRGp9cU20okGzaSJpXjAcfp/view?usp=drive_link
Can’t Hurt Me,David Goggins,https://drive.google.com/file/d/1XekkPphG1Ejdhfyqyz0u-J8yEBIHD7su/view?usp=drive_link
Deep Work,Cal Newport,https://drive.google.com/file/d/10NOPpjFdvvbb5AG_-m0WsSVBZ8qkZBdd/view?usp=drive_link
Digital Minimalism,Cal Newport,https://drive.google.com/file/d/1keqIJBqhC4dr7oOfRVdrIo6yXQB4Vb3m/view?usp=drive_link
Discipline Equals Freedom,Jocko Willink,https://drive.google.com/file/d/1OnC2YUDz-C3smM4BtgtvwWJT-GqU46EK/view?usp=drive_link
Do It Today,Darius Foroux,https://drive.google.com/file/d/1hAM-OGpg2wGFNphJ509KQfJN9TLqajm-/view?usp=drive_link
Dopamine Detox,Thibaut Meurisse,https://drive.google.com/file/d/1Z7_dBVJ6wjDm1URjIGNUssnDdyuvIeLN/view?usp=drive_link
Eat That Frog for Students,Brian Tracy,https://drive.google.com/file/d/1Agxaxcj4Yshv3cxYj1S_bC1fVRcWZv1f/view?usp=drive_link
